Project Name,Approved Budget,Start Date,End Date,TOR,Date Of Delivery,Other Relevant Information,Required Quantity,Procuring Entity
Supply And Delivery Equipment & Supplies ( Disposable Cups),PHP380,2020-04-24,2020-05-01,../Data/Files/Pr/159280582010339698305ef049bcbb88b_PR.Jpg,2020-05-01,../Data/Files/Pr/159280582010099921435ef049bce687a_Notice Of Award.Jpg,10,Municipality Of Alaminos Laguna
Supply And Delivery Equipment & Supplies ( Disposable Spoon And Fork),PHP200,2020-04-24,2020-05-01,../Data/Files/Pr/159280582110551723485ef049bd156b4_PR.Jpg,2020-05-01,../Data/Files/Pr/159280582120283205835ef049bd47630_Notice Of Award.Jpg,5,Municipality Of Alaminos Laguna
Supply And Delivery Equipment & Supplies ( Kitchen Knife Set),"PHP1,000",2020-04-24,2020-05-01,../Data/Files/Pr/15928058214537599875ef049bd70b30_PR.Jpg,2020-05-01,../Data/Files/Pr/15928058214693539725ef049bda0110_Notice Of Award.Jpg,1,Municipality Of Alaminos Laguna
Supply And Delivery Equipment & Supplies ( Aluminum Frying Fan),PHP450,2020-04-24,2020-05-01,../Data/Files/Pr/159280582112317209955ef049bdd86ac_PR.Jpg,2020-05-01,../Data/Files/Pr/15928058226502500105ef049be146f9_Notice Of Award.Jpg,1,Municipality Of Alaminos Laguna
Supply And Delivery Equipment & Supplies ( Aluminum Frying Pan Medium),PHP250,2020-04-24,2020-05-01,../Data/Files/Pr/15928058228187366135ef049be3b42e_PR.Jpg,2020-05-01,../Data/Files/Pr/159280582210803809365ef049be68f1c_Notice Of Award.Jpg,1,Municipality Of Alaminos Laguna
Supply And Delivery Equipment & Supplies (Spin Mop),"PHP1,000",2020-04-24,2020-05-01,../Data/Files/Pr/15928058221239308985ef049be8e618_PR.Jpg,2020-05-01,../Data/Files/Pr/15928058224974079725ef049bec0a04_Notice Of Award.Jpg,1,Municipality Of Alaminos Laguna
UNIVERSAL TRANSPORT MEDIA (UTM) (B1-20-51),"PHP222,592",2020-03-26,2020-03-27,../Data/Files/Pr/15928267624717451075ef09b8a8792a_B1-20-51 (FINAL).Pdf,2020-04-03,../Data/Files/Pr/159282676216165012525ef09b8ac0b35_B1-20-51 (FINAL).Pdf,4,Department Of Health Central Visayas Center For Health Development
PERSONAL PROTECTIVE EQUIPMENTS (B1-20-57),"PHP1,152,000",2020-05-13,2020-05-14,../Data/Files/Pr/15928275381456230755ef09e92ca8c9_B1-20-57 (EMERGENCY CASE).Pdf,2020-05-26,../Data/Files/Pr/159282753913555122805ef09e9309018_NOA.Pdf,768,Department Of Health Central Visayas Center For Health Development
"20 BOX PIPETTE TIPS 200UL10 BOX PIPETTE TIPS 100UL,25 BOX PIPETTE TIPS 20UL AND 15 BOX PIPETTE TIPS 10UL (B7-20-23) (B7-20-23)","PHP795,200",2020-05-13,2020-05-14,../Data/Files/Pr/159283007610606202975ef0a87c58e86_B7-20-23 (EMERGENCY CASE).Pdf,2020-05-28,../Data/Files/Pr/159283007613147074205ef0a87c88b77_NOA.Pdf,70,Department Of Health Central Visayas Center For Health Development
Improvement Of Manpower Development Center To Be Used As Quarantine Facility,"PHP504,098.28",2020-06-08,2020-06-19,../Data/Files/Pr/159289272721405222705ef19d374906b_Improvement Of Manpower Development Center To Be Used As Quarantine Facility264.Pdf,2020-06-08,../Data/Files/Pr/159289272713545337705ef19d37a0f5d_Improvement Of Manpower Development Center To Be Used As Quarantine Facility264.Pdf,1,"LGU San Juan, Siquijor"
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-17,../Data/Files/Pr/159290332618062861975ef1c69e56056_signed P.R..Pdf,2020-06-23,../Data/Files/Pr/159290332617428604755ef1c69e91554_signed P.R..Pdf,1,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/15929033269998057555ef1c69ebe607_signed P.R..Pdf,2020-06-23,../Data/Files/Pr/15929033266756001935ef1c69ee482d_signed P.R..Pdf,3,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/159290332716011806475ef1c69f18e49_signed P.R..Pdf,2020-06-23,../Data/Files/Pr/15929033273986652445ef1c69f69d2d_signed P.R..Pdf,3,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/159290332716094219035ef1c69fcc39a_Tech Specs.Pdf,2020-06-23,../Data/Files/Pr/159290332813167233105ef1c6a0b3849_Tech Specs.Pdf,1,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/159290332819037395325ef1c6a0d38d1_Tech Specs.Pdf,2020-06-23,../Data/Files/Pr/159290332916840045795ef1c6a10531c_Tech Specs.Pdf,2,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/15929033298196761615ef1c6a12d760_img399.Pdf,2020-06-23,../Data/Files/Pr/15929033297366374405ef1c6a160926_img399.Pdf,2,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/159290332915643691565ef1c6a186a35_img400.Pdf,2020-06-23,../Data/Files/Pr/159290332910575226555ef1c6a1ac054_img400.Pdf,4,National Children's Hospital
Procurement Of Goods: Various Medical Equipment Under Bayanihan To Heal As One Act Or RA 11469 (EP 2020-01),"PHP14,275,000",2020-05-21,2020-06-23,../Data/Files/Pr/1592903329559015245ef1c6a1d41ac_img400.Pdf,2020-06-23,../Data/Files/Pr/15929033301864483285ef1c6a22539f_img400.Pdf,4,National Children's Hospital
Procurement Of Various Items,"PHP25,175",2020-04-06,2020-04-06,../Data/Files/Pr/15929612373129683345ef2a8d50db52_CCE06242020 Tech.Pdf,2020-04-07,../Data/Files/Pr/15929612373094827295ef2a8d545051_CCE06242020 Relevant.Pdf,30,LGU POLANCO
Supply And Delivery Of Thermal Scanner (SSU PARANAS CAMPUS),"PHP850,900",2020-06-22,2020-06-25,../Data/Files/Pr/159296418017480890775ef2b454e7200_2006012.PDF,2020-06-22,../Data/Files/Pr/159296418110241382845ef2b45540715_EPR Thermal Scanner For SSU-PC.PDF,1,SAMAR STATE UNIVERSITY
Supply And Delivery Of Thermal Scanner (SSU MERCEDES CAMPUS),"PHP850,900",2020-06-22,2020-06-25,../Data/Files/Pr/15929642982352381035ef2b4cac6839_2006012.PDF,2020-06-22,../Data/Files/Pr/1592964299377812895ef2b4cb14004_EPR Thermal Scanner For SSU-MC.Pdf,1,SAMAR STATE UNIVERSITY
ENGAGEMENT OF SERVICE PROVIDER FOR THE CONDUCT OF AN ONSITE RANDOM COVID-19 RAPID ANTIBODY SCREENING TEST OF MWSS RO TALENTS,"PHP90,000",2020-06-29,2020-08-28,../Data/Files/Pr/15930628217146229305ef435a5f1da1_TOR_RandomOnsiteAntibodyScreeningTest.Pdf,2020-06-29,../Data/Files/Pr/159306282213490626585ef435a65d7b8_TOR_RandomOnsiteAntibodyScreeningTest.Pdf,1,METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
Procurement Of Corned Beef,"PHP6,802",2020-06-02,2020-06-02,../Data/Files/Pr/15930697549351858245ef450bada1af_tech.Pdf,2020-06-03,../Data/Files/Pr/15930697555668475985ef450bb17815_rele.Pdf,179,LGU POLANCO
Ascorbic Acid 500mg Tablet X 100'S/Box,"PHP66,000",2020-05-05,2020-05-25,../Data/Files/Pr/159308094014939180355ef47c6cbd027_PR# 2020-05-0828.PDF,2020-05-21,../Data/Files/Pr/159308094016149604225ef47c6ceb23f_BAC Res# 2020-05-0808.PDF,"6,000.00",GOVERNOR CELESTINO GALLARES MEMORIAL HOSPITAL
Azithromycin 500mg As Dihydrate Tablet,"PHP454,290",2020-05-05,2020-05-25,../Data/Files/Pr/15930809416760076345ef47c6dabd7c_PR# 2020-05-0828.PDF,2020-06-16,../Data/Files/Pr/159308094118550319825ef47c6de43c4_BAC Res# 2020-05-0808.PDF,"3,000.00",GOVERNOR CELESTINO GALLARES MEMORIAL HOSPITAL
Social Welfare Goods (Rice),"PHP6,297,000",2020-05-26,2020-06-26,../Data/Files/Pr/15931313346354664765ef541464a84e_REQUIREMENTS.Docx,2020-05-26,../Data/Files/Pr/15931313347068605175ef5414665427_REQUIREMENTS.Docx,"3,148.00",LGU TOBIAS FORNIER
Refrigerator,"PHP25,605.32",2020-05-13,2020-06-30,../Data/Files/Pr/15931465221441913725ef57c9a2474b_PR# 2020-05-0869.PDF,2020-06-26,../Data/Files/Pr/159314652218204144435ef57c9a5af62_BAC Res 2020-06-0997.PDF,1,GOVERNOR CELESTINO GALLARES MEMORIAL HOSPITAL
Drugs & Medicines,"PHP762,140",2020-05-29,2020-06-29,../Data/Files/Pr/15931497552735787315ef5893b2ee30_PR_Drugs&Medicines004.Pdf,2020-05-29,../Data/Files/Pr/159314975513364251415ef5893b8d31e_SPECSDrugs&Medicines004.Pdf,1,LGU TOBIAS FORNIER
Other Supplies & Materials,"PHP270,040",2020-05-26,2020-06-26,../Data/Files/Pr/159315010318318082055ef58a97c91cb_PR_OtherSupplies003.Pdf,2020-05-26,../Data/Files/Pr/159315010417465482175ef58a98281a6_SPECSOtherSupplies003.Pdf,1,LGU TOBIAS FORNIER
"Medical & Laboratory Supplies (PPE's, Etc.)","PHP740,700",2020-05-26,2020-06-26,../Data/Files/Pr/159315029220069212785ef58b541e194_PR_PPEs006.Pdf,2020-05-26,../Data/Files/Pr/15931502922846904785ef58b5463087_SPECSPPEs006.Pdf,1,LGU TOBIAS FORNIER
"Office Equipment, Furniture & Fixture, Other PPE's","PHP171,000",2020-05-26,2020-06-26,../Data/Files/Pr/159315047311804586345ef58c0951ae7_PR_CapitalOutlay.Pdf,2020-05-26,../Data/Files/Pr/15931504735970658915ef58c0990d49_SPECSCapitalOutlay.Pdf,1,LGU TOBIAS FORNIER
Procurement Of 1530 Cavans Of Rice To Be Used Food Assistance,"PHP3,029,400",2020-06-11,2020-06-18,../Data/Files/Pr/159315956816909643105ef5af903dbdd_PORICEMARILAG.Jpg,2020-06-18,../Data/Files/Pr/1593159568647588095ef5af9074552_PRRICE1530.Jpg,"1,530.00","Municipality Of Paete, Laguna"
Procurement Of Grocery Items To Be Used As Food Assistance,"PHP333,400",2020-04-17,2020-06-24,../Data/Files/Pr/1593160283424095785ef5b25bacf69_POglory333.Jpg,2020-04-17,"../Data/Files/Pr/159316028310676348095ef5b25bd456d_PR333,Glory.Jpg",281,"Municipality Of Paete, Laguna"
PURCHASE OF ADDITIONAL DRESSED CHICKEN,"PHP120,000",2020-05-07,2020-06-21,../Data/Files/Pr/159316672011340579385ef5cb807ff30_PR CHICKEN.Docx,2020-05-16,../Data/Files/Pr/15931667204730830115ef5cb80a2ea5_po Chicken.Docx,"1,500.00",LGU Banate
PURCHASED OF 4192 SACKS OF RICE,"PHP5,240,000",2020-05-06,2020-06-21,../Data/Files/Pr/15931679286197961895ef5d038d9b89_RICE PR1.Docx,2020-05-07,../Data/Files/Pr/159316792913385496205ef5d03911d00_2020-075 Rice Emergency.Docx,"4,192.00",LGU Banate
PURCHASE OF 248 SACKS OF RICE,"PHP310,000",2020-05-06,2020-06-21,../Data/Files/Pr/159316828720188449885ef5d19f1e072_RICE PR1.Docx,2020-05-07,../Data/Files/Pr/1593168287391969245ef5d19f42b31_2020-076 RICE.Docx,248,LGU Banate
PURCHASE OF DRESSED CHICKEN,"PHP500,000",2020-05-05,2020-06-21,../Data/Files/Pr/15932449649265475925ef6fd241aaeb_PR CHICKEN.Pdf,2020-05-16,../Data/Files/Pr/159324496418520788535ef6fd24523a5_2020-083 DRESSED CHICKEN.Pdf,"6,250.00",LGU Banate
PURCHASE OF DRIED FISH (BALINGON),"PHP320,000",2020-05-06,2020-06-21,../Data/Files/Pr/15932456573398575205ef6ffd9f3985_PR DRIED FISH1.Pdf,2020-05-06,../Data/Files/Pr/159324565814563776945ef6ffda37be0_2020-077 DRIED FISH.Pdf,1,LGU Banate
PURCHASE OF DRIED FISH (SAP SAP),"PHP126,000",2020-05-05,2020-06-21,../Data/Files/Pr/159324588416349379415ef700bc78ed9_PR DRIED FISH2.Pdf,2020-05-06,../Data/Files/Pr/1593245884322837075ef700bc9e28b_2020-077 DRIED FISH.Pdf,700,LGU Banate
PURCHASE OF DRIED FISH (TABAGAK),"PHP180,000",2020-05-06,2020-06-22,../Data/Files/Pr/159324654419667875835ef7035069139_PR DRIED FISH3.Pdf,2020-05-06,../Data/Files/Pr/15932465449186086945ef7035091459_REVISED APP.Docx,1,LGU Banate
PURCHASE OF DIESEL AND GASOLINE,"PHP639,450.04",2020-05-01,2020-06-15,../Data/Files/Pr/15933121014971652815ef803654976f_PR FUEL.Pdf,2020-05-30,../Data/Files/Pr/159331210175799925ef803658da2a_2020-081 FUEL EMERGENCY.Pdf,"12,747.27",LGU Banate
PURCHASE OF VARIOUS MEDICAL SUPPLIES,"PHP700,000",2020-04-07,2020-05-07,../Data/Files/Pr/1593312403429993295ef80493193ed_PR MED SUPPLIES.Pdf,2020-04-13,../Data/Files/Pr/159331240318452153745ef804933fbfe_2020-066 MEDICAL SUPPLIES EMERGENCY.Pdf,1,LGU Banate
PURCHASE OF VARIOUS MEDICINES,"PHP500,000",2020-04-06,2020-05-06,../Data/Files/Pr/15933128058613184005ef806258f50e_PR MEDICINES1.Pdf,2020-04-17,../Data/Files/Pr/159331280521060380815ef80625bac37_2020-065 Emergency Medicines.Pdf,1,LGU Banate
PURCHASE OF VARIOUS MEDICINES,"PHP1,399,862",2020-05-19,2020-07-04,../Data/Files/Pr/15933131522575254585ef80780c4d7a_TECH SPECH MEDICINES.Pdf,2020-06-15,../Data/Files/Pr/159331315310125812325ef8078127187_2020-093 Medicines Bayanihan.Pdf,1,LGU Banate
PURCHASE OF VARIOUS OFFICE SUPPLIES,"PHP42,542",2020-04-14,2020-05-29,../Data/Files/Pr/159331345518908907415ef808afd1d6c_PR OFFICE SUPPLIES.Pdf,2020-04-13,../Data/Files/Pr/15933134563670166115ef808b011363_office Supplies Emergency.Pdf,1,LGU Banate
PURCHASE OF 2586 SACKS OF RICE,"PHP3,258,360",2020-03-26,2020-04-26,../Data/Files/Pr/15933137129389575505ef809b0e4881_PR RICE 2586 SACKS.Pdf,2020-03-27,../Data/Files/Pr/15933137133654882095ef809b16b425_BAC RESO.Pdf,"2,586.00",LGU Banate
ENGAGEMENT OF SERVICE PROVIDER FOR THE CONDUCT OF ONSITE COVID-19 RAPID ANTIBODY SCREENING TEST OF MWSS RO EMPLOYEES,"PHP163,500",2020-05-29,2020-05-29,../Data/Files/Pr/15933997228305433885ef959aab30a3_TOR_OnsiteAntibodyScreeningTest.Pdf,2020-05-29,../Data/Files/Pr/159339972311067792285ef959ab17065_TOR_OnsiteAntibodyScreeningTest.Pdf,1,METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
PROCUREMENT OF SURGICAL MASK AND THERMOGUN,"PHP124,748",2020-04-17,2020-04-17,../Data/Files/Pr/1593409212784570375ef97ebc5bcc8_Order Confirmation_facemask&Thermogun_April17.Pdf,2020-04-17,../Data/Files/Pr/159340921215380162355ef97ebc86f87_Order Confirmation_facemask&Thermogun_April17.Pdf,"5,200.00",METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
"PROCUREMENT OF ALCOHOL ( ETHLY, 500mL)","PHP13,074",2020-04-23,2020-04-23,../Data/Files/Pr/15934096636887870455ef9807f714ba_Order Confirmation_Alcohol_April23.Pdf,2020-04-23,../Data/Files/Pr/159340966310831943865ef9807f9a282_Order Confirmation_Alcohol_April23.Pdf,300,METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
"PROCUREMENT OF ALCOHOL ( ETHLY, 1 GAL.)","PHP25,168",2020-05-11,2020-05-11,../Data/Files/Pr/15934097948412244055ef981027d038_Order Confirmation_AlcoholGal_May11.Pdf,2020-05-11,../Data/Files/Pr/159340979414859618515ef981029b14a_Order Confirmation_AlcoholGal_May11.Pdf,55,METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
PROCUREMENT OF DISINFECTANT SPRAY AND FACE SHIELD,"PHP23,649.6",2020-05-14,2020-05-14,../Data/Files/Pr/159340993110216060885ef9818b8b558_Order Confirmation_faceshield&Disinfectant Spray_May14.Pdf,2020-05-14,../Data/Files/Pr/159340993117111974215ef9818ba3273_Order Confirmation_faceshield&Disinfectant Spray_May14.Pdf,135,METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
PROCUREMENT OF FACE SHIELD AND THERMOGUN,"PHP9,308",2020-06-10,2020-06-10,../Data/Files/Pr/159341012121006830765ef98249b80ac_Order Confirmation_faceshield&Thermogun_June10.Pdf,2020-06-10,../Data/Files/Pr/159341012111640449055ef98249d1c21_Order Confirmation_faceshield&Thermogun_June10.Pdf,50,METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE
SUPPLY AND DELIVERY OF PROTECTIVE COVERALL,"PHP251,000",2020-03-13,2020-03-16,../Data/Files/Pr/15934903451696696205efabba95cd66_20-03-017 NP-Emergency.Doc,2020-03-16,../Data/Files/Pr/159349034515095241795efabba98dc76_20-03-017 NP-Emergency.Doc,251,Talisay District Hospital
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350105210725666555efae57c636da_1.Jpg,2020-07-13,../Data/Files/Pr/159350105220731249215efae57c9051e_1.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350116516675743145efae5ed95598_2.Jpg,2020-07-13,../Data/Files/Pr/159350116520747774465efae5edc3ca6_2.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935013401985970805efae69c6def8_3.Jpg,2020-07-13,../Data/Files/Pr/159350134020062488455efae69cb123f_3.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935014918429268425efae7333ca87_4.Jpg,2020-07-13,../Data/Files/Pr/159350149116886532015efae7336d231_4.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935017473026107475efae8335813a_5.Jpg,2020-07-13,../Data/Files/Pr/159350174720611661405efae83390d84_5.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935018562267042775efae8a08f928_6.Jpg,2020-07-13,../Data/Files/Pr/159350186018538238705efae8a491588_6.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350207115756366625efae9776c57e_7.Jpg,2020-07-13,../Data/Files/Pr/159350207114849276355efae977a24cf_7.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP750,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350220215144371685efae9fa4ef57_8.Jpg,2020-07-13,../Data/Files/Pr/159350220212057780305efae9fa7f30c_8.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP875,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935023057637944185efaea617487c_9.Jpg,2020-07-13,../Data/Files/Pr/1593502305863085675efaea61a1698_9.Jpg,1,Municipality Of Kalibo
SUPPLY AND DELIVERY OF DISPOSABLE SHOE COVER,"PHP92,000",2020-03-13,2020-03-16,../Data/Files/Pr/15935027604943923595efaec286898d_20-03-017 NP-Emergency.Doc,2020-03-16,../Data/Files/Pr/15935027604119748815efaec2890677_20-03-017 NP-Emergency.Doc,200,Talisay District Hospital
SUPPLY AND DELIVERY OF EFFERVESCENT HARD-SURFACE DISINFECTANT TABLET,"PHP190,000",2020-03-13,2020-03-16,../Data/Files/Pr/159350276016582210095efaec28ca27a_20-03-017 NP-Emergency.Doc,2020-03-16,../Data/Files/Pr/159350276014864258175efaec28ed478_20-03-017 NP-Emergency.Doc,100,Talisay District Hospital
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350389919941193335efaf09b23b09_10.Jpg,2020-07-13,../Data/Files/Pr/159350389920468436045efaf09b50c16_10.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350404417160747455efaf12c48027_11.Jpg,2020-07-13,../Data/Files/Pr/1593504044390103165efaf12c735bc_11.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350417319718716735efaf1ad3951f_12.Jpg,2020-07-13,../Data/Files/Pr/159350417319421768145efaf1adc7ddf_12.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935042829764400185efaf21aa1705_13.Jpg,2020-07-13,../Data/Files/Pr/15935042826704807755efaf21acbdf8_13.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350443613056628215efaf2b4d9081_14.Jpg,2020-07-13,../Data/Files/Pr/159350443712442832755efaf2b518322_14.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350453910680008225efaf31b05086_15.Jpg,2020-07-13,../Data/Files/Pr/159350453914574004225efaf31b74fd9_15.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/159350463716421625775efaf37da61aa_16.Jpg,2020-07-13,../Data/Files/Pr/159350463712731628805efaf37ddb234_16.Jpg,1,Municipality Of Kalibo
Purchase Of NFA Rice,"PHP1,250,000",2020-07-01,2020-07-03,../Data/Files/Pr/15935047529007039895efaf3f01d889_17.Jpg,2020-07-13,../Data/Files/Pr/15935047528311622215efaf3f04d440_17.Jpg,1,Municipality Of Kalibo
Improvement Of Manpower Development Center To Be Used As Quarantine Facility,"PHP109,627.43",2020-06-08,2020-06-19,../Data/Files/Pr/15935056849730053745efaf794225fe_Improvement Of Tambisan Manpower Development Center265.Pdf,2020-06-08,../Data/Files/Pr/159350568417910828275efaf794772bf_Improvement Of Tambisan Manpower Development Center265.Pdf,599.34,"LGU San Juan, Siquijor"
Supplies For Clinic,"PHP101,750",2020-07-01,2020-07-02,../Data/Files/Pr/159357561914349815435efc08c3d75fd_PR CLINIC.Pdf,2020-07-24,../Data/Files/Pr/159357562019396298785efc08c414205_PR CLINIC.Pdf,595,Northern Negros State College Of Science And Technology
Provision Of Food Assistance And Other Relief Goods Of Affected Households And For Other Necessary COVID-19 Related PPAS And Expenses-BGCM (PUM Facility At Manpower Development Center At Tambisan.,"PHP115,131.45",2020-06-08,2020-07-15,../Data/Files/Pr/159366206716604961815efd5a738ec5c_Provision Of Food Assistance Tambisan266.Pdf,2020-06-15,../Data/Files/Pr/159366206713216714405efd5a73c74f0_Provision Of Food Assistance Tambisan266.Pdf,658,"LGU San Juan, Siquijor"
SUPPLY AND DELIVERY OF CLEAN GLOVES (Large),"PHP72,000",2020-03-13,2020-03-16,../Data/Files/Pr/15936744317346693395efd8abf2b941_20-03-017 NP-Emergency.Doc,2020-03-16,../Data/Files/Pr/159367443120123443505efd8abf8d740_20-03-017 NP-Emergency.Doc,400,Talisay District Hospital
SUPPLY AND DELIVERY OF CLEAN GLOVES (Medium),"PHP72,000",2020-03-13,2020-03-16,../Data/Files/Pr/15936744318439986395efd8abfaf3fa_20-03-017 NP-Emergency.Doc,2020-03-16,../Data/Files/Pr/159367443110153736955efd8abfdb22c_20-03-017 NP-Emergency.Doc,400,Talisay District Hospital
SUPPLY AND DELIVERY OF CLEAN GLOVES (Small),"PHP18,000",2020-03-13,2020-03-16,../Data/Files/Pr/159367443211771366375efd8ac030780_20-03-017 NP-Emergency.Doc,2020-03-16,../Data/Files/Pr/15936744329335803935efd8ac05b063_20-03-017 NP-Emergency.Doc,100,Talisay District Hospital
ADMIN Supplies,"PHP52,000",2020-07-06,2020-07-07,../Data/Files/Pr/159401523818176963415f02be06bbccc_PR 213.Jpg,2020-07-10,../Data/Files/Pr/15940152387273815785f02be06f3a43_PR 213.Jpg,343,Northern Negros State College Of Science And Technology
SUPPLIES FOR CLINIC USE,"PHP15,170",2020-07-06,2020-07-07,../Data/Files/Pr/159401523912519879055f02be0734eec_PR 215.Jpg,2020-07-10,../Data/Files/Pr/159401523916816866945f02be07715d9_PR 215.Jpg,205,Northern Negros State College Of Science And Technology
MATERIALS FOR CONSTRUCTION OF HANDWASHING AREA,"PHP20,060",2020-07-06,2020-07-07,../Data/Files/Pr/159401523953963575f02be07a0a52_PR 216.Jpg,2020-07-10,../Data/Files/Pr/15940152394746844725f02be07d602e_PR 216.Jpg,283,Northern Negros State College Of Science And Technology
DISINFECTANT SUPPLIES,"PHP38,100",2020-07-06,2020-07-07,../Data/Files/Pr/15940152402469450105f02be0818653_PR 217.Jpg,2020-07-10,../Data/Files/Pr/1594015241575239515f02be091d648_PR 217.Jpg,152,Northern Negros State College Of Science And Technology
MEDICAL SUPPLIES,"PHP301,000",2020-07-06,2020-07-07,../Data/Files/Pr/15940152413994507675f02be0951852_PR 232.Jpg,2020-07-10,../Data/Files/Pr/159401524117929298395f02be098309d_PR 232.Jpg,700,Northern Negros State College Of Science And Technology
1 UNIT DELIVERY TABLE WITH DETACHABLE STIRRUPS AND MATTRESS,"PHP200,000",2020-05-28,2020-05-28,../Data/Files/Pr/15940205991487792265f02d2f7b8990_B4-20-39 (EMERGENCY CASE).Pdf,2020-06-23,../Data/Files/Pr/15940206004597555225f02d2f8054f2_B4-20-39 (EMERGENCY CASE).Pdf,1,Department Of Health Central Visayas Center For Health Development
9 UNIT EXAMINING TABLE WITH STIRRUPS,"PHP225,000",2020-05-28,2020-05-28,../Data/Files/Pr/159402331115921887085f02dd8f87054_B4-20-45 (EMERGENCY CASE).Pdf,2020-06-23,../Data/Files/Pr/159402331113394141335f02dd8fc2ab7_B4-20-45 (EMERGENCY CASE).Pdf,9,Department Of Health Central Visayas Center For Health Development
21800 TAB ASCORBIC ACID (VITAMIN C) 500 TABLET,"PHP174,400",2020-04-28,2020-04-28,../Data/Files/Pr/159402331210696792935f02dd90090e7_B6-20-46 (EMERGENCY CASE).Pdf,2020-04-28,../Data/Files/Pr/159402331214382898515f02dd904ad5d_B6-20-46 (EMERGENCY CASE).Pdf,"21,800.00",Department Of Health Central Visayas Center For Health Development
440 PCS. EMPTY BOTTLE,"PHP26,400",2020-04-22,2020-04-22,../Data/Files/Pr/159402331211679253685f02dd9076e43_B9-20-14 (EMERGENCY CASE).Pdf,2020-04-22,../Data/Files/Pr/15940233126477904785f02dd9096776_B9-20-14 (EMERGENCY CASE).Pdf,440,Department Of Health Central Visayas Center For Health Development
